test_name,file_path,category,cwe,is_vulnerable
BenchmarkTest00001,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,pathtraver,22,True
BenchmarkTest00002,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,pathtraver,22,True
BenchmarkTest00003,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,hash,328,True
BenchmarkTest00004,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,trustbound,501,True
BenchmarkTest00005,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,crypto,327,True
BenchmarkTest00006,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,cmdi,78,True
BenchmarkTest00007,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,cmdi,78,True
BenchmarkTest00008,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,sqli,89,True
BenchmarkTest00009,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00009.java,hash,328,False
BenchmarkTest00010,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java,weakrand,330,False
BenchmarkTest00011,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00011.java,pathtraver,22,True
BenchmarkTest00012,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00012.java,ldapi,90,True
BenchmarkTest00013,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00013.java,xss,79,True
BenchmarkTest00014,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00014.java,xss,79,True
BenchmarkTest00015,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java,cmdi,78,True
BenchmarkTest00016,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00016.java,securecookie,614,False
BenchmarkTest00017,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java,cmdi,78,True
BenchmarkTest00018,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,sqli,89,True
BenchmarkTest00019,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,crypto,327,True
BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,crypto,327,True
BenchmarkTest00021,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00021.java,ldapi,90,True
BenchmarkTest00022,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00022.java,hash,328,False
BenchmarkTest00023,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,weakrand,330,True
BenchmarkTest00024,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,sqli,89,True
BenchmarkTest00025,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,sqli,89,True
BenchmarkTest00026,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00026.java,sqli,89,True
BenchmarkTest00027,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,sqli,89,True
BenchmarkTest00028,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,pathtraver,22,True
BenchmarkTest00029,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00029.java,hash,328,True
BenchmarkTest00030,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00030.java,xss,79,True
BenchmarkTest00031,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java,trustbound,501,True
BenchmarkTest00032,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00032.java,sqli,89,True
BenchmarkTest00033,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00033.java,sqli,89,True
